Time,Temp
2014-01-01 0:00,3.04
2014-01-01 1:00,2.26
2014-01-01 2:00,0.76
2014-01-01 3:00,-0.34
2014-01-01 4:00,-1.14
2014-01-01 5:00,-1.94
2014-01-01 6:00,-2.4
2014-01-01 7:00,-2.92
2014-01-01 8:00,-2.78
2014-01-01 9:00,-1.02
2014-01-01 10:00,1.9
2014-01-01 11:00,4.5
2014-01-01 12:00,6.7
2014-01-01 13:00,6.84
2014-01-01 14:00,7.48
2014-01-01 15:00,7.68
2014-01-01 16:00,7.26
2014-01-01 17:00,6.36
2014-01-01 18:00,5.5
2014-01-01 19:00,5.48
2014-01-01 20:00,5.26
2014-01-01 21:00,4.44
2014-01-01 22:00,3.58
2014-01-01 23:00,3.66
2014-01-02 0:00,3.16
2014-01-02 1:00,1.94
2014-01-02 2:00,1
2014-01-02 3:00,-0.2
2014-01-02 4:00,-1.4
2014-01-02 5:00,-1.96
2014-01-02 6:00,-2.3
2014-01-02 7:00,-3.2
2014-01-02 8:00,-3.64
2014-01-02 9:00,-1.14
2014-01-02 10:00,1.38
2014-01-02 11:00,3.22
2014-01-02 12:00,4.5
2014-01-02 13:00,5.18
2014-01-02 14:00,5.76
2014-01-02 15:00,6.3
2014-01-02 16:00,6.14
2014-01-02 17:00,4.44
2014-01-02 18:00,2.2
2014-01-02 19:00,0.66
2014-01-02 20:00,-0.48
2014-01-02 21:00,-1.34
2014-01-02 22:00,-2.32
2014-01-02 23:00,-3.12
2014-01-03 0:00,-3.58
2014-01-03 1:00,-3.92
2014-01-03 2:00,-4.34
2014-01-03 3:00,-4.14
2014-01-03 4:00,-3.9
2014-01-03 5:00,-3.74
2014-01-03 6:00,-4.08
2014-01-03 7:00,-4.04
2014-01-03 8:00,-3.5
2014-01-03 9:00,-2.62
2014-01-03 10:00,-1.16
2014-01-03 11:00,0.94
2014-01-03 12:00,3.16
2014-01-03 13:00,4.98
2014-01-03 14:00,5.52
2014-01-03 15:00,5.88
2014-01-03 16:00,5.54
2014-01-03 17:00,4.52
2014-01-03 18:00,3.48
2014-01-03 19:00,2.36
2014-01-03 20:00,1.36
2014-01-03 21:00,0.9
2014-01-03 22:00,0.24
2014-01-03 23:00,0.18
2014-01-04 0:00,-0.92
2014-01-04 1:00,-1.38
2014-01-04 2:00,-1.84
2014-01-04 3:00,-2.3
2014-01-04 4:00,-3.26
2014-01-04 5:00,-3.74
2014-01-04 6:00,-4.34
2014-01-04 7:00,-4.72
2014-01-04 8:00,-5.22
2014-01-04 9:00,-3.62
2014-01-04 10:00,-1.38
2014-01-04 11:00,0.8
2014-01-04 12:00,2.08
2014-01-04 13:00,3.24
2014-01-04 14:00,4.2
2014-01-04 15:00,4.3
2014-01-04 16:00,4.14
2014-01-04 17:00,3.04
2014-01-04 18:00,1.62
2014-01-04 19:00,0.2
2014-01-04 20:00,-1.08
2014-01-04 21:00,-1.32
2014-01-04 22:00,-1.92
2014-01-04 23:00,-2.86
2014-01-05 0:00,-3.02
2014-01-05 1:00,-3.28
2014-01-05 2:00,-3.78
2014-01-05 3:00,-3.96
2014-01-05 4:00,-4.7
2014-01-05 5:00,-5.18
2014-01-05 6:00,-5.54
2014-01-05 7:00,-5.98
2014-01-05 8:00,-6.18
2014-01-05 9:00,-4.36
2014-01-05 10:00,-2.4
2014-01-05 11:00,-0.18
2014-01-05 12:00,1.48
2014-01-05 13:00,2.66
2014-01-05 14:00,3.82
2014-01-05 15:00,3.9
2014-01-05 16:00,3.4
2014-01-05 17:00,2.3
2014-01-05 18:00,0.96
2014-01-05 19:00,-0.32
2014-01-05 20:00,-1.12
2014-01-05 21:00,-1.36
2014-01-05 22:00,-1.8
2014-01-05 23:00,-2.66
2014-01-06 0:00,-3.28
2014-01-06 1:00,-3.96
2014-01-06 2:00,-4.9
2014-01-06 3:00,-5.18
2014-01-06 4:00,-5.88
2014-01-06 5:00,-6.26
2014-01-06 6:00,-6.6
2014-01-06 7:00,-6.7
2014-01-06 8:00,-6.78
2014-01-06 9:00,-4.96
2014-01-06 10:00,-2.44
2014-01-06 11:00,-0.34
2014-01-06 12:00,2.08
2014-01-06 13:00,3.94
2014-01-06 14:00,4.82
2014-01-06 15:00,5.38
2014-01-06 16:00,4.82
2014-01-06 17:00,3.84
2014-01-06 18:00,1.98
2014-01-06 19:00,0.96
2014-01-06 20:00,-0.26
2014-01-06 21:00,-1.38
2014-01-06 22:00,-1.74
2014-01-06 23:00,-1.9
